id,name,author,title,description,url,publishedAt,content
bbc-news,BBC News,https://www.facebook.com/bbcnews,Wiltshire Long Covid patient says they have 'no support',"Ursula Wick, who was hospitalised in 2021, is still living with the effects of the virus.",https://www.bbc.co.uk/news/uk-england-wiltshire-67373381,2023-11-11T13:52:07Z,"A woman suffering from long Covid said she has been left with ""no support"".
Ursula Wick, from Swindon, struggles with tiredness, aches, pains and a loss of strength after contracting the virus and b… [+1825 chars]"
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
abc-news-au,ABC News (AU),Brooke Chandler,"Long COVID research offers 'light at the end of the tunnel', finding symptoms ease over time","Giuliano Gaspri spent eight months in hospital with COVID. He's part of a study of long COVID patients which hasn't found the cause, but did find life can return to normal with time.",https://www.abc.net.au/news/2023-12-02/long-covid-study-still-suffering-but-some-hope/103173430,2023-12-01T19:15:00Z,"Before Giuliano Gaspri caught COVID-19, he was climbing up transmitter towers overlooking the New South Wales Illawarra region as part of his full-time maintenance job.
Key points:
<ul><li>Study pa… [+5144 chars]"
time,Time,Jamie Ducharme,Getting Vaccinated May Be Your Best Protection from Long COVID,"People who got at least one COVID-19 vaccine before getting sick are 4 times less likely to get Long COVID, a new study says.",https://time.com/6338434/vaccination-long-covid-risk/,2023-11-22T23:30:00Z,"People vaccinated before their first case of COVID-19 are diagnosed with Long COVID almost four times less than unvaccinated people, suggests a large new study published Nov. 22 in the BMJ.
Thats no… [+3414 chars]"
new-scientist,New Scientist,,Governments must stay in it for the long haul on long covid research,Lingering symptoms after a covid-19 infection remain a problem for millions of people. Nations need to renew efforts to find treatments for them and help prevent yet more cases,https://www.newscientist.com/article/mg26034673-200-governments-must-stay-in-it-for-the-long-haul-on-long-covid-research/,2023-11-29T18:10:00Z,"Bryan Olin Dozier/NurPhoto/Shutterstock
IT HAS been nearly four years since the covid-19 pandemic began, and many of us would love to forget all about it. But there are millions for whom that is imp… [+442 chars]"
cbc-news,CBC News,,'What I want are recovery narratives': CBC Radio host Gill Deacon on life with long COVID,"""It can be a challenge to stay present, to not grieve what I have lost or bemoan what has befallen me. I take it, as the banal but truthful platitude goes, one day at a time,"" writes CBC Radio Here & Now host Gill Deacon.",https://www.cbc.ca/news/canada/toronto/gill-deacon-long-covid-recovery-narratives-1.7046731,2023-12-02T10:00:00Z,"Gill Deacon is the host of CBC Radio's Here &amp; Now. She went on leave in December 2022. This piece is about her ongoing absence.
""How's work?""
The cashier is a former neighbour, someone I haven'… [+8212 chars]"
time,Time,Steven Phillips and Michelle Williams,How to End the Futile Blame Game Over Failed Long COVID Research,"A pair of public health experts argue that the current approach to Long COVID research is failing, and offer a radical new paradigm.",https://time.com/6335177/long-covid-research-failure/,2023-11-15T12:00:00Z,The health outlook for Long COVID sufferers is no better today than it was when the condition was first recognized in early 2020. This has been attributed in large measure to the disappointing result… [+8549 chars]
bbc-news,BBC News,https://www.facebook.com/bbcnews,"'Long Covid triggered our MCAS, but doctors didn't believe us'",Elle Gorman and George Cooper explain how they were told their post-long Covid illness didn't exist.,https://www.bbc.co.uk/news/uk-england-london-66998448,2023-11-27T01:39:05Z,"People with long Covid feel ""forgotten, unheard, disbelieved, isolated"", barrister Anthony Metzer KC told the Covid-19 Inquiry last month on behalf of advocacy groups for people with the condition.
… [+9442 chars]"
abc-news-au,ABC News (AU),Hanan Dervisevic,"With COVID-19 cases rising so close to Christmas, we spoke to experts about how to beat it quickly and get back to normal","With the festive season rapidly approaching, the last thing anyone wants is COVID-19. Here's some tips from the experts about how to get over an infection and back to normal quickly.",https://www.abc.net.au/news/2023-11-13/covid-cases-rising-how-to-beat-it/103086504,2023-11-12T16:44:33Z,"With the government scaling back COVID-19 case number updates, it may seem the virus has disappeared from the public consciousness.
But experts say Australia is now in its eighth COVID-19 wave.
All… [+6318 chars]"
fortune,Fortune,Carolyn Barber,Inside long COVID’s war on the body: Researchers are trying to find out whether the virus has the potential to cause cancer,'There’s not great evidence to support SARS-CoV-2 being an oncogenic virus–but this virus has surprised us over and over.',https://fortune.com/2023/11/23/inside-long-covids-war-body-researchers-trying-find-out-virus-potential-cancer-carolyn-barber/,2023-11-23T12:04:02Z,"Long COVID is no stranger to either patients or those immersed in studies of its effects. In the U.S., one in 7 adultsabout 14% of the adult populationhas experienced symptoms that lasted three month… [+12462 chars]"
